ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSG00000077152,164.78518560272724,3.62159307041625,0.17141063255865133,21.12817050119137,4.381992409217456e-99,4.2711645178676645e-96,UBE2T
ENSG00000169679,168.72744363118989,3.861237384027908,0.18294702241269162,21.10576785074826,7.040194277611289e-99,6.587650589446435e-96,BUB1
ENSG00000131747,1220.3145769363923,4.704247716069099,0.22306312912033663,21.089311060149623,9.970294503326572e-99,8.970580742935328e-96,TOP2A
ENSG00000170312,251.91956687563902,3.918930683101656,0.18633134590136438,21.032052680906226,3.3388690812298044e-98,2.892820904341067e-95,CDK1
ENSG00000088325,590.173388106864,3.3475118455195334,0.16043656607066745,20.865018041118233,1.1135250495882936e-96,9.204846265864906e-94,TPX2
ENSG00000171848,434.802775576941,3.4097927399383274,0.1634306759203602,20.863847749120982,1.1411129043307068e-96,9.204846265864906e-94,RRM2
ENSG00000117650,149.03964897047894,3.949321120054383,0.18942081218202309,20.849457219406812,1.5416127860590107e-96,1.2020982634759479e-93,NEK2
ENSG00000075218,149.96922526890918,3.2904817560427357,0.15792068165799458,20.836294027459058,2.0295550342167444e-96,1.5315284166268485e-93,GTSE1
ENSG00000203760,120.62357223616877,3.137703695177966,0.15363786228492263,20.422724245922332,1.0504018467337542e-92,7.678765750200847e-90,CENPW
ENSG00000161888,166.17093016199084,3.5282913445951953,0.1732153940829955,20.369386700726082,3.125677317537821e-92,2.2157263481564316e-89,SPC24
ENSG00000105011,142.74315518578365,3.5265180639389686,0.17395267584078702,20.272858965197354,2.2329984382500107e-91,1.5363686019406616e-88,ASF1B
ENSG00000109805,301.76597358501556,3.883255700192972,0.19258140986938965,20.164229261934622,2.018675182052174e-90,1.3492248152499003e-87,NCAPG
ENSG00000122952,345.95991302102675,3.1856048610149057,0.15801755323468372,20.15981639890174,2.2069941954957644e-90,1.4341170893120116e-87,ZWINT
ENSG00000161800,326.6256018100621,2.8279079971565597,0.14039586170983132,20.142388548469114,3.138304065516282e-90,1.9841715406654697e-87,RACGAP1
ENSG00000137310,394.5679739126775,3.126996235048355,0.1555171611661868,20.10708150534476,6.397922236569581e-90,3.938594602107163e-87,TCF19
ENSG00000089685,423.83435049279143,3.766539530377169,0.18909878738337568,19.918369559615158,2.820253092989696e-88,1.6916456565207168e-85,BIRC5
ENSG00000011426,210.33969123738237,3.707467993271512,0.1862685345146437,19.903887701333932,3.7655746323115227e-88,2.2022021843415864e-85,ANLN
ENSG00000164283,109.36833641711338,4.571134750850708,0.2301389296404483,19.862501133520972,8.592319602322157e-88,4.902442255051761e-85,ESM1
ENSG00000121152,108.3087993650994,3.5813209587835466,0.18045337716359866,19.846239594267768,1.1876317543979456e-87,6.614826102531225e-85,NCAPH
ENSG00000101412,379.2597851451108,4.046445397246797,0.2080378494717562,19.450525024755912,2.8846238928297134e-84,1.5693024819759416e-81,E2F1
ENSG00000123485,234.08783197139525,3.4004258057255847,0.17584003751336852,19.33817720817457,2.563785459163972e-83,1.3630598465050635e-80,HJURP
ENSG00000178999,201.8884478435819,3.7072578985697433,0.1919491438392828,19.313750634250265,4.1157010897814435e-83,2.139524346516829e-80,AURKB
ENSG00000114346,234.69668650527763,2.957126992783317,0.15336802745529088,19.28124813136405,7.719129377008877e-83,3.925512902529753e-80,ECT2
ENSG00000163918,360.4319498446143,2.1715382077752157,0.11296707195450915,19.22275376535983,2.3875607926937194e-82,1.1883448856060464e-79,RFC4
ENSG00000126787,115.33852287985927,4.361341624873793,0.22739894534981983,19.179251769019906,5.516853571580143e-82,2.6886615749994643e-79,DLGAP5
ENSG00000147257,8484.859079376389,6.072441283802799,0.3182091498852971,19.083176225421848,3.4842724141649654e-81,1.6634200935624702e-78,GPC3
ENSG00000111665,246.73003725882393,3.208163758229756,0.16812844840063368,19.081623536934185,3.589343064206494e-81,1.6793100460196504e-78,CDCA3
ENSG00000156970,179.03418075411844,3.631186479811484,0.19104381276805915,19.007087574304244,1.4899849199787168e-80,6.834356320208259e-78,BUB1B
ENSG00000136011,548.3205175586302,-3.83187458875822,0.20262772650928101,-18.910909453365,9.274344881682346e-80,4.172206727253753e-77,STAB2
ENSG00000137807,187.29432039339122,2.874398571237615,0.15301108693006701,18.785557497224666,9.913956476287137e-79,4.3757959216940566e-76,KIF23
ENSG00000168078,124.64468200909577,4.529537585911236,0.24209058895692173,18.71009362828736,4.096547288680672e-78,1.7746394578538326e-75,PBK
ENSG00000174371,89.4096197361478,3.722842905984619,0.19994523455713895,18.619313004535403,2.2407016391460687e-77,9.53031517173527e-75,EXO1
